erakond,message
Kesk,Üks ajajärk on läbi saamas. Keskerakond müüb oma büroo vanalinnas praeguste ja võimalike tulevaste kohustuste katteks. Uus asukoht on leidmisel.
Kesk,"Koalitsioon Haapsalus. Täna sai allkirjad Urmas Suklese valimisliidu HaRi ja Keskerakonna koalitsioonilepe. Volikogu esimeheks saab Jaanus Karilaid,"
Kesk,"Keskerakond kohtub linnavolikogusse saanud erakondadega. Et juhtimine oleks laiapõhjalisem ning teineteise vaated ja ideed paremini selged, soovib Keskerakond Tallinnas kohtuda kõigi linnavolikogusse pääsenud erakondadega. Seejärel oleks ka selgem, kas alustada koalitsiooniläbirääkimisi mõne erakonnaga või mitte."
Kesk,Postimehe debatt otse! Populaarseim linnapeakandidaat Taavi Aas esindab Eesti Keskerakonda. Vaata ja mõtle kaasa!
Kesk,Vali Sinagi! Peaminister Jüri Ratasel on oma valik tehtud. Veel saad eelvalida ning juba pühapäeval on käes valimispäev! Sinu hääl on määrav.
Kesk,"Linnateatrisse! Peaminister Jüri Ratas, kultuuriminister Indrek Saar ja Tallinna tegevlinnapea Taavi Aas külastasid täna Tallinna Linnateatrit, mille vanalinnas asuva teatrikompleksi arendamist toetavad riik ja linn aastatel 2018–2020 kokku hinnanguliselt 20 miljoni euroga."
Kesk,"Vaata, palju saad juurde! Üks Keskerakonna olulisimaid lubadusi on olnud alati inimeste sissetulekute tõstmine ja suurem sidusus ühiskonnas. Tegime peaministrierakonnana selleks olulise sammu! Juba järgmisest aastast tõuseb tulumaksuvaba miinimum 500 euroni, mis jätab kuus kuni 64 eurot rohkem kätte."
Kesk,"Faktid riigieelarvest. Ettevõtja Peeter Piho värskendab Äripäevas Ansipi mälu, kes paneb praegusele valitsusele pahaks ka tema kogutud reservide vastutustundetut kulutamist. Tegelikkus muidugi reformierakondlaste sõnadest erineb.

Lugu kahjuks tasuline, kuid väärt lugemist!"
Kesk,"Populaarseim linnapeakandidaat! Keskerakonna linnapeakandidaat, tegevlinnapea Taavi Aas on pealinlaste jaoks kõige parem valik ning tema toetus on suurim."
Kesk,"Põllumajanduspoliitika kannab vilja! Piimalehmade ja sigade arvu vähenemine on peatunud ning piima-, sea- ja veiseliha kokkuostuhind on kõrgem kui eelmise aasta samal perioodil ütleb maaeluminister Tarmo Tamm."
Kesk,"Keskerakonna Saaremaa piirkond kutsub teid Keskerakonna päevale! Kogupereüritus toimub 8.septembril, Meri Spa Hotelli promenaadil, algusega kell 16.00. Saarlastega tulevad kohtuma Keskerakonna esimees ja peaminister Jüri Ratas, Keskerakonna Saaremaa esinumber Enn Eesmaa ning piirkonna kandidaadid.

Kontserdi annavad Tuuli Rand ja Heidy Tamme!"
Kesk,"Keskerakond pidas 3. septembril erakonna volikogu ja valimiskonverentsi. Lisaks toimus meeleolukas rongkäik ja esinumbrite tutvustus. Aitäh kõigile, kes üle Eesti tulid kohale, et teha üks võimas üritus üheskoos!"
Kesk,"Meie meeskond Tõrvas! Keskerakonna vallavolikogu esimehe kandidaat Tõrvas on varasem Helme vallavanem ja volikogu esimees Toivo Põldma, vallavanemakandidaadiks nimetati eraettevõtluse finantsvaldkonna spetsialist Evelin Kuljus."
Kesk,"Võimekas linnapea suvepealinna! Pärnu linnas on kohalikel valimistel Keskerakonna linnapeakandidaadiks majandus- ja taristuminister, Keskerakonna aseesimees Kadri Simson!"
Kesk,"Haridus- ja teadusminister Mailis Reps viibib täna visiidil Ida-Virumaal, kus ta ütleb avasõnad õpetajatele mõeldud konverentsil Narva kolledžis ning kuulutab välja Kohtla-Järve riigigümnaasiumi arhitektuurikonkursi võitja."
Kesk,"Vildakad arvamused sirgeks. Linnapeakandidaat Taavi Aas kommenteerib arvamusfestivalil linnapeakandidaatide debatti, kus kriitika linnajuhtimise kohta ei olnud vaid mittekonstruktiivne, aga ka ebatäpne. Loe lähemalt!"
Kesk,"Vajalik meede. Maaeluminister Tarmo Tamm allkirjastas määruse, mis soodustab töökohtade loomist maale, et maapiirkonnas oleks püsiv majanduslik võimekus ning et inimestele jätkuks tööd."
Kesk,"Justkui tänavajutt. Juhatuse liige Enn Eesmaa tuletab Andrus Ansipile meelde, et Jüri Ratas tema ""vend"" siiski pole ning tal tuleks oma ameti tõttu hoiduda sisepoliitiliste punktide püüdmisest."
Kesk,Tallinna programm täieneb. Erakonna juhatus otsustas eile Yana Toomi ettepanekul alustada erakonna eetikakoodeksi loomisega ning täiendada Tallinna valimisprogrammi mitme hea mõttega.
Kesk,Toetus väikesaartele. Riigihaldusminister Jaak Aab andis täna allkirja millega toetatakse väikesaari 638 000euroga.
Kesk,"Viljakas muld on suur väärtus! Minister Tarmo Tamm tutvustas eile Euroopa Parlamendi põllumajanduskomitees Eesti Euroopa Liidu Nõukogu eesistumise prioriteete põllumajanduses. Ta rõhutas, et viljakas ja terve muld on jätkusuutliku toidutootmise aluseks."
Kesk,"Peaminister Jüri Ratas ütles täna Euroopa Parlamendi ees Eesti Euroopa Liidu Nõukogu eesistumise prioriteete tutvustades, et Eesti ajalugu tõestab meie oskust oma võimaluste ärakasutamisel ning sama soovib Eesti näidata ka eesistumisega."
Kesk,"Vabaerakond on läinud Reformierakonna tuules, püüdes vastanduda Keskerakonnaga. Keskerakond soovib edukat ja inimesi hoidvat riiki. Seda saab koostöö, mitte vastandumise ja konfliktide otsimisega eri kogukondades, leiab Toomas Vitsut."
Kesk,"Viimaste kuude arvamusküsitlused näitavad selgelt Keskerakonna poliitikale valijatelt väga tugevat toetust. Näeme, et erakonna liikmetel kõikjal Eestis tuleb tööd teha tugevate erakonna nimekirjade loomiseks!"
Kesk,Usaldus nii pealinnas kui ka kogu Eestis! Erakonna esimees Jüri Ratas tänab!
Kesk,
Kesk,Sinu kandidaadid Võrus! Keskerakonna esinumber on Võrus Anneli Ott ja linnapeakandidaat Ülo Tulik. Edu ja kordaminekuid meie kandidaatidele ja Võru linnale!
Kesk,Majandus- ja taristuminister Kadri Simsoni sõnul on Eesti majandus kasvuteel ning OECD hinnangul on tegemist jätkuva trendiga. Nende poolt avaldatud majanduse ülevaade toetab valitsuse seniseid samme eesotsas tulumaksuvaba miinimumi suure tõusuga.
Kesk,"Esita küsimus! Täna vastab Delfis lugejate küsimustele meie linnapeakandidaat Taavi Aas. Seda, millised on plaanid meie pealinna, Sinu linnaosa ja kodutänava osas, on võimalik mugavalt tegevlinnapealt küsida! 

Kui leiad, et Tallinn on arenenud ning linnajuhid tublit tööd teinud, siis anna sellest ka märku nii siin ja miks mitte ka Delfis ;)"
Kesk,"Just äsja lõppes Saaremaal aastakonverents. Hea meel on teatada, et saarlased said omale uue esimehe. Mihkel Undrest on see tubli saare mees, kes hakkab keskerakondlaste hea eest seisma ja meid Saaremaal valimisvõidule viib! Jöudu tööle!"
Kesk,"Perekonverentsile! 1. juunil kell 9.00 olete oodatud perekonverentsile, kus arutame perepoliitikas seni tehtu üle ning diskuteerime, kuhu ja kuidas edasi. Tule kuula ja räägi kaasa! Konverentsile saab end registreerida konverents@keskerakond.ee"
Kesk,"Keeleõppele tuleb läheneda targalt. Eesti keele filoloog Mihhail Stalnuhhin imestab Reformierakonna lubaduse üle kaotada venekeelsed lasteaiad, sest praegunegi keeleõpe pole oravate aastatepikkusel juhtimisel kaugeltki jõudnud adekvaatse tasemeni."
Kesk,"Peaministriga malet mängima? Sel laupäeval saab. Jüri Ratas korraldab 27. mail Nõmmel maleturniiri, millest osavõtt on kõigile tasuta! 

Eelregistreerimine on kohustuslik ning kestab 25. maini aadressil jrregistreerimine@gmail.com."
Kesk,Keskerakond müüs oma põhimõtted maha ja käitub hullemini kui Reformierakond. Kohalikel valimistel teie lubadused ja teod ei pea paika.
Kesk,"Kiirus, mugavus ja turvalisus! Majandus- ja taristuminister Kadri Simson kirjeldab kuhu ja miks läheb taristuinvesteeringute lisaraha 135 miljonit eurot."
Kesk,"Bürokraatia väikesaartel kaob. Kui eelnõu saab seaduseks, ei pea väikesaarte elanikud enam muretsema tehnoülevaatuse pärast, sest ebaotstarbekas nõue kaob. Muidugi jääb ülevaatuse kohustus Saaremaa, Hiiumaa ja Muhu autodele siiski alles."
Kesk,"Vastandus versus ideed. Mihhail Korb leiab, et Reformierakonna soov tekitada valimiste peaküsimus rahvuste pinnal või ülejäänud opositsiooni soov vastanduda vaid Keskerakonnale, ei vii edasi, sest reaalsed ideed paraku puuduvad."
Kesk,"Argumentum ad hominem. Isiklikud rünnakud ei vii väitluses kedagi tõele lähemale, leiab Keskerakonna aseesimees, minister Kadri Simson Jürgen Ligi väljaütlemisi kommenteerides."
Kesk,Õnne noorpaarile! :) Tervitame ja õnnitleme Siret Kotkat ja Martin Repinskit pulmade puhul!
Kesk,Ekspordime Eesti head toitu! Maaeluminister Tarmo Tamm on võtnud eesmärgiks tutvustada meie tootjaid kõikjal maailmas ning avardada meie eksportturge
Kesk,"Loodetavasti pole ühelgi eksamit kirjutavalt abituriendil Facebooki lahti kella 16.00ni, mil eksam lõpeb, aga teadke, et teile hoiab pöialt nii täna kui ka teiste eksamite puhul ka peaminister Jüri Ratas!"
Kesk,"SA Elva Haigla TM nõukogu esimees, ortopeed Peeter Laasik sõnab, et valitsuse otsus lisada nelja aasta jooksul 215 miljonit eurot lisaraha arstiabi parandamisse, on tulevikku suunatud otsus."
Kesk,"Täna läbis Riigikogus esimese lugemise seaduseelnõu, mis näeb ette riigipoolse õppelaenu kustutamise raske puudega laste vanematel. Riigikogu Keskerakonna fraktsiooni liikme Dmitri Dmitrijevi sõnul on muudatuste peamiseks eesmärgiks leevendada raske puudega laste vanemate majanduslikku olukorda."
Kesk,Valitsus otsustas tänasel istungil saata riigikokku maavalitsuste reformi seaduseelnõu. Eelnõu järgi lõpetatakse 2018. aastaga maavalitsuste tegevus ning nende ülesanded jagatakse omavalitsuste ja riigiasutuste vahel.
Kesk,"Meie riigikogulane Oudekki Loone leiab, et vähemalt palgavahemikud peaks olema avalikud. Ühelt poolt aitaks see meeste-naiste palgalõhe vähendada ning teisalt oleks kasulik ka töötajatele ja tööandjatele, kes läbirääkimiste laua taha astuvad juba konkreetse teadmisega, milline palk töökohal võiks olla. Nii hoitaks kokku nii tööandja kui ka töötaja aega. Mida teie arvate?"
Kesk,"Ohtlik ja mõtlematu on Reformierakonna süstemaatiline tegevus Eesti ühiskonna lõhestamisel rahvuspinnalt. Arvestades muutunud julgeolekupilti, määramatust ja närvilisust rahvusvahelisel tasemel, ei ole see kindlasti Eesti huvides, kommenteerib Raimond Kaljulaid Reformierakonna kriitikat Eesti Vabariigi juubeliürituse tähistamise osas."
Kesk,Häädemeeste volikogu esimeheks valiti keskerakondlane Lembit Künnapas.
Kesk,"Valitsus otsustas Narva rajada Sisekaitseakadeemia kolledži. Sisekaitseakadeemia Pirita, Paikuse ja Väike-Maarja õppekompleksid säilivad. „Valitsuse jaoks on oluline, et Sisekaitseakadeemia kolledži Narva rajamisel võidaks sellest mitte ainult siseturvalisuse valdkond mitmekesisema väljaõppekeskkonna näol, vaid ka kohalik kogukond. Rajades Narva kolledži annab see positiivse signaali, et valitsus väärtustab Ida-Virumaa arengut ning peab sealset elukeskkonda sama oluliseks kui kõikjal mujal Eestis,“ ütles peaminister Ratas."
Kesk,"Majanduskomisjoni liige Erki Savisaar ütleb, et Reformierakonna loogikat ""riigi sekkumine on paha ja eesmärk on teenida vaid raha"" Keskerakond ei toeta. Meil on valdkondi, kus ei saa vaadata vaid kasuminumbreid, vaid oluline on kõigi Eesti inimeste heaolu."
Kesk,"Õiguskomisjoni liige, endine Lasnamäe linnaosa vanem Olga Ivanova leiab, et keskkonnahoiule peab lähenema süsteemselt. Üks oluline aspekt seejuures on omavalitsuse õigus korraldada jäätmevedu, mis annab pildi liitunutest, sellest kuhu prügi viiakse ning võimaldab pakkuda kliendile soodsaimat hinda."
Kesk,"Jaanus Karilaid selgitab Postimehes, miks e-valimised on erinevad kui e-maksuamet, pangateenused internetis või e-tervishoiud, mida muidugi mõista toetatakse ja arendatakse edaspidigi jõuliselt."
Kesk,"Keskerakonna esimees Jüri Ratas ja kogu Keskerakond avaldavad kaastunnet meie seast lahkunud Vene Kultuurikeskuse juhi, Tallinna Linnavolikogu liikme Juri Poljakovi perele."
Kesk,"Arengut tuleb toetada! Väikesed ja aeglased robotliikurid võivad seaduse jõustudes ilma juhita tänavatel liigelda. Eelnõu sisseandja Erki Savisaar sõnas, et seadusandjatel tuleb toetada innovatiivsust ning võimaldada Eestis teha teadustegevust, mis meie tulevikku tõenäoliselt kujundavad."
Kesk,"Riigikogu Euroopa Liidu Asjade komisjoni liige Toomas Vitsut leiab, et 100 päeva ametis olnud valitsusel on ees ootamas põnevad ja töökad ajad. Nimelt on selle aasta juulikuust Eesti Euroopa Liidu eesistujamaa"
Kesk,"Ilusat vastlapäeva Keskerakonna poolt, kallid sõbrad! Need, kellel vastlaliug juba tehtud on, võivad endale ka ühe või lausa mitu vastlakuklit lubada. :)"
Kesk,"Täna toimub Kuressaares juba teine Keskerakonna seminar ""Keskerakond valitsuses"". Saarlastega kohtuvad erakonna esimees, peaminister Jüri Ratas ning Keskerakonna aseesimees ja Riigikogu asespiiker Enn Eesmaa. Kel võimalus, siis võtke kindlasti osa!"
Kesk,"Keskerakonna Noortekogu aseesimees Karine Oganesjan teeb oma arvamusloos ettepaneku, et energiajoogid peaksid Eestis alla 16-aastastele keelatud olema. Nii Lätis kui Leedus on energiajoogid keelatud alla 18-aastastele. Mis Sina arvad?"
Kesk,"Pensionireform, kus igaühe panust hinnatakse baasosas võrdselt, sõltumata tema palgast, tekitab jätkuvalt inimestes tuska. Lausa nii palju, et sotsiaalmaksu maksmisest loobutakse. Kui aga rohkem kui 70% inimest tulevikus muudatustest võidab, siis kas see pole kaalumist väärt?"
Kesk,"Jobud, mängite lollustega 110℅trumbid reformidele agasi.
Mis sai aktsiusitõusude vastu protesteerimisest?
Samasugusedpoliitlibud nagu kõik teised!!!"
Kesk,"Riigikogu aseesimees Enn Eesmaa kirjutab tänases Kesknädalas sellest, milliseks kujuneb tema hinnangul alanud aasta. 2017. aasta saab Ennu sõnul olema mitut moodi väljakutsuv ja oluline. Vaadates saabuvatele sündmustele otsa, ei saa küll lubada, et see aasta tuleks eelmisest lihtsam või rahulikum… Sügisel ootavad ees kohalikud valimised, kuid veel enne valimisi tuleb meil korraldada edukas eesistumine Euroopa Liidus. Loe lähemalt värskest lehest: http://kesknadal.ee/est/uudised?id=28104"
Kesk,"Majandus- ja Kommunikatsiooniministeerium (MKM) saatis täna uute parvlaevade hilinemise tõttu TS Laevadele esimese 400 000 euro suuruse trahviotsuse. 

„Üks uus parvlaev on küll tänaseks kohal ja lähipäevil asub teele ka järgmine, kuid lepingupartnerina vastutab vedaja ehk TS Laevad lepingu täitmise eest. Selle kohaselt pidid uued parvlaevad liinile jõudma möödunud aasta esimesest oktoobrist. Võimetus laevu õigeaegselt liinile tuua toob neile aga kaasa trahvi,“ selgitas majandus- ja taristuminister Kadri Simson trahvi tagamaid. „TS Laevad saab omakorda trahvid välja nõuda ehitusega hilinenud lepingupartneritelt,“ lisas ta."
Kesk,"Tere hommikust Eesti! ööistung on jõudnud hommikuni ja nagu näha on Keskerakonna liikmed tublilt istungisaalis kohal kui  opositsioonierakonnad oma seisukohti valdavalt tühjade pinkidega kaitsevad... 

Muudatusettepanekutest on jõutud läbi vaadata 45. Kokku on muudatusettepanekuid 157 ning enamus nendest Reformierakonna püüd muuta elu ühe euro kaupa, võttes selleks 10-minutilisi vaheaegu."
Kesk,"Uus valitsus on öelnud, et esimese 100 päeva jooksul nad mitte ainult ei analüüsi, vaid astuvad konkreetseid samme valitsuse nelja prioriteedi täitmiseks. 

Jüri Ratas: ""Töötame iga päev selle nimel, et tugevdada riiklikku julgeolekut, viia Eesti välja majandusseisakust, suurendada ühiskondlikku heaolu ja sidusust ning pöörata Eesti rahvaarv taas tõusule.""

Pildil põhimeetmed Eesti rahvaarvu suurendamiseks. Mis Sa arvad?"
Kesk,"Riigihalduse minister Mihhail Korb on täna oma esimesel töövisiidil, mille raames ta külastab Ida-Virumaad. Kohtumisel omavalitsuste esindajatega on kõne all riigi ja omavalitsuste vaheline koostöö ning haldusreform.

„Soovin riiki ja kohalikke omavalitsusi omavahel rohkem siduda ning anda piirkonnale ja omavalitsustele rohkem õigusi, ülesandeid aga ka ressursse. Võimalus töökohti luua ja tuua piirkonda elu on suures osas kohaliku elu juhtide teha,“ ütles riigihalduse minister Mihhail Korb."
Kesk,"Annan uuele peaministrile nõu ,kus Jüri Ratase vastused Ligile oravate stiilis võiksid olla umbes järgmised koos Jürile omase lisaloominguga:
Ligi küsimused
1. Kelle oma on Krimm — mõlemas keeles ja selgelt?
2. Kas Venemaa okupeerib Ida-Ukrainat ja mida sellest oled juba oma valijale otse öelnud?
3. Kas Venemaa on demokraatlik riik ja kas sa oled seda oma valijaile sõltumata keelest öelnud?
4. Kuidas kavatsed „rääkida vähem Venemaast”, kui Euroopas aina rohkem Venemaast räägitakse ja meil tuleb tagada, et ei unustataks Ukrainat, Gruusiat, Moldovat, meid?
5. Kas nõuad isiklikult Venemaa suhtes lisasanktsioone, kui Süüria või Ukrainaga seoses on lootust selles kokku leppida?
6. Kas oled valmis vabastama oma ministreid, kui keegi neist ei saa NATO saladuste luba?
7. Kas kõik su ministrid räägivad oma valijaile, et Eesti oli okupeeritud ja eesti rahvast küüditati?
8. Kas valitsus tõesti taastab venekeelse gümnaasiumihariduse, nagu lubasid?
Ratase vastused:
1. Kui Ukraina ja Vene omavahel selles asjas ühisarusaamisele jõuavad, siis annan sulle ka teada, enne pole viisakas teiste siseasjadesse sekkuda.
2. Kuna Vene seda oma teada ei tee ja Ukraina annab maailmale segaseid signaale, siis on vajalik hoida see väga tähtis küsimus luubi all
3. Kuna demokraatiaid on palju, siis Vene valib ilmselt omale sobiva, mis mõistagi erineb teie omast (kus opositsiooniga üldse ei arvestata) ja mõnevõrra ka meie omast, mis on klassikaline ja üldtunnustatud. Sellest räägin ma oma valijatele kindlasti. 
4. Kuna kõik on suhteline ja kui rääkida rohkem Eestist, mis meile kõigile on väga tähtis ja hingelähedane (loodetavasti ka sulle), siis paratamatult Venest rääkimise osamaht kogu jutust väheneb. Matemaatika, kulla Jurgen.
5. Venemaa suhtes tuleb nõuda tõesti sanktsioone kui nad lepingu nõudeid ei täida. Olgu need Süürias või kus iganes.
6. Ikka tuleb vabastada kui peaks selguma, et ministril on näiteks nii kriminaalne taust kui E.N Krossil või K. Pentusel , mis Euroopa väärtusruumi ei sobi. 
7. Kui kõik ministrid panna ainult sellest rääkima oma valijatele kogu aeg( nagu enamasti teie tegite kuigi ministreid ei vali rahvas), siis jääb Eestis elu päris seisma ja jätkub stagnatsioon. Ma kahjuks pean nõudma ministritelt pidevat päris töö tegemist omal vastutusalal erinevalt teie õudusjuttudest Venemaa ja Savisaare kohta.
8.Kui sa pead silmas gümnaasiumiharidust Venemaal , siis jah, Vene valitsus peab oma venekeelsed koolid s. h. gümnaasiumid ja vene keele õppe taastama ise kui nendega seal midagi juhtus ja lapsed ei saa õppida. Huvitav info sul , Jürgen, kas gümnaasiumid Venemaal lakkasid toimimast ? Loomulikult ei pea Vene valitsus meie vene koole taastama, me saame ikka oma projektide ja programmidega ise hakkama."
Kesk,"Mida Keskerakond arvab sõjaväelise piirivalve taasloomisest ? Mida kavatsetakse teha nende immigrantidega, kes juba siin on ja aina juurde neid tuleb ? Need teemad on hulga põletavamad, kui mingi magusamaks hetkel."
Kesk,http://www.delfi.ee/news/paevauudised/eesti/keskerakond-vajame-pagulaspoliitika-osas-referendumit?id=73495321
